id,company_name,industry_tags,business_scope,registered_capital,capital_amount,established_date,total_score,rating_level,tech_score,funding_score,intent_score,team_score,industry_score,tech_stack,cloud_provider,has_github_org,has_tech_blog,ai_job_ratio,hire_count,news_count,dig_bid_count
207,昂融焊接技术(武汉)有限公司,['数字化改造验收'],昂，汉语一级字，读作&#225;ng ，其本义为仰起，抬起。 昂的拼音是&#225;ng，昂字共8画，部首是日部，本页介绍昂字的意思，昂的详细解释，昂的读音、笔,45万元,45.00,2005-03-09,0,D,0,0,0,0,0,,,,,,0,10,0
209,普宙科技有限公司,['数字化改造验收'],根据现有材料，此字的最早形体是篆文，也见于《易经》等先秦著作。 许慎《说文解字》认为此字是太阳没有光的意思，但此义不见 … 普的拼音是pǔ，普字共12画，部首是,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,10,0
213,木桥(武汉)汽车零部件有限公司,['数字化改造验收'],木桥是以木材为主要建造材料的桥梁类型，外文名称为timber bridge或wooden bridge，具有重量轻、强度较高、构造简单等优点，但 … 。 木桥的,13万元,13.00,,0,D,0,0,0,0,0,,,,,,0,11,0
215,柏为(武汉)医疗科技股份有限公司,['数字化改造验收'],此字始见于商朝文字。 “柏”字是形声字，从木，白声。 本义是木名，柏树。 “柏”又有假借义，古多假借为伯仲之伯、促迫之迫。 当“柏” … 柏（bǎi、b&#24,,,2013-09-24,0,D,0,0,0,0,0,,,,,,0,11,0
218,格瑞拓动力股份有限公司,['数字化改造验收'],又感通。 《书&#183;说命》格于皇天。 又变革也。 《书&#183;益稷谟》格则承之庸之。 又格，穷究也。 穷之而得亦曰格。 《大学》致知在格物 … 同本义,,,,0,D,0,0,0,0,0,,,,,,0,20,0
219,森织汽车内饰(武汉)有限公司,['数字化改造验收'],森（读音sēn）是汉字通用规范一级字（常用字）。 此字始见于商代甲骨文。 《说文》中说“森，木多貌。 ”可见，“森”的本义是树木茂密的样 … 森的拼音是sēn，,,,,0,D,0,0,0,0,0,"['TypeScript', 'PHP', 'AI/ML', '工业互联网', '移动开发']",,False,False,0.0000,0,20,0
222,武汉七环电气股份有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,1991-11-27,0,D,0,0,0,0,0,,,,,,0,16,0
226,武汉万邦激光金刚石工具股份有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,20,0
228,武汉三和兴模具技术有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,,0,D,0,0,0,0,0,"['TypeScript', 'AI/ML', '工业互联网']",,False,False,0.0000,0,12,0
229,武汉三宇机械有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,2009-08-26,0,D,0,0,0,0,0,"['TypeScript', 'AI/ML']",,False,False,0.0000,0,15,0
230,武汉三工光电设备制造有限公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,,0,D,0,0,0,0,0,"['TypeScript', 'AI/ML']",,False,False,0.0000,0,8,0
233,武汉世纪宏设备制造有限责任公司,['数字化改造验收'],。提供地铁线路图浏览，乘车方案查询 ... 3 天之前&ensp;&#0183;&ensp;江汉关前吹江风、听音乐，年轻人追捧49岁“武汉之夏” 2026-08,,,,0,D,0,0,0,0,0,,,False,False,0.0000,0,8,0
